월,시도명,시군구,계
201801,서울,계,"3,118,469"
201801,부산,계,"1,337,098"
201801,대구,계,"1,159,779"
201801,인천,계,"1,518,259"
201801,광주,계,"650,988"
201801,대전,계,"661,136"
201801,울산,계,"550,794"
201801,세종,계,"131,423"
201801,세종,세종,"131,423"
201801,경기,계,"5,410,671"
201801,경기,가평군,"29,477"
201801,경기,고양시 덕양구,"161,657"
201801,경기,고양시 일산동구,"123,766"
201801,경기,고양시 일산서구,"111,441"
201801,경기,과천시,"21,145"
201801,경기,광명시,"107,739"
201801,경기,광주,"174,672"
201801,경기,구리시,"70,131"
201801,경기,군포시,"99,954"
201801,경기,김포시,"182,934"
201801,경기,남양주시,"267,069"
201801,경기,동두천시,"37,856"
201801,경기,부천시,"303,306"
201801,경기,성남시 분당구,"190,605"
201801,경기,성남시 수정구,"72,917"
201801,경기,성남시 중원구,"75,950"
201801,경기,수원,"173,131"
201801,경기,수원,"135,090"
201801,경기,수원,"109,715"
201801,경기,수원,"75,170"
201801,경기,시흥시,"204,564"
201801,경기,안산시 단원구,"154,222"
201801,경기,안산시 상록구,"143,586"
201801,경기,안성시,"98,148"
201801,경기,안양시 동안구,"123,391"
201801,경기,안양시 만안구,"87,853"
201801,경기,양주시,"95,308"
201801,경기,양평,"56,918"
201801,경기,여주시,"66,404"
201801,경기,연천군,"28,361"
201801,경기,오산시,"94,069"
201801,경기,용인시 기흥구,"180,581"
201801,경기,용인시 수지구,"132,173"
201801,경기,용인시 처인구,"118,509"
201801,경기,의왕시,"60,223"
201801,경기,의정부시,"150,080"
201801,경기,이천,"108,021"
201801,경기,파주,"198,353"
201801,경기,평택시,"244,900"
201801,경기,포천시,"90,464"
201801,경기,하남시,"95,090"
201801,경기,화성시,"355,728"
201801,강원,계,"747,942"
201801,강원,강릉,"104,868"
201801,강원,고성군,"13,831"
201801,강원,동해,"43,664"
201801,강원,삼척시,"31,133"
201801,강원,속초,"36,593"
201801,강원,양구군,"11,641"
201801,강원,양양군,"14,407"
201801,강원,영월,"20,497"
201801,강원,원주,"161,174"
201801,강원,인제,"17,336"
201801,강원,정선,"20,251"
201801,강원,철원,"23,247"
201801,강원,춘천,"128,303"
201801,강원,태백,"21,014"
201801,강원,평창군,"25,136"
201801,강원,홍천,"37,623"
201801,강원,화천군,"12,307"
201801,강원,횡성군,"24,917"
201801,충북,계,"789,964"
201801,충북,괴산군,"21,490"
201801,충북,단양군,"15,894"
201801,충북,보은,"18,108"
201801,충북,영동군,"24,663"
201801,충북,옥천군,"26,376"
201801,충북,음성군,"56,901"
201801,충북,제천,"67,186"
201801,충북,증평군,"18,714"
201801,충북,진천군,"42,015"
201801,충북,청원군,22
201801,충북,청주,"77,590"
201801,충북,청주,"97,504"
201801,충북,청주,"99,248"
201801,충북,청주,"119,806"
201801,충북,충주,"104,447"
201801,충남,계,"1,061,517"
201801,충남,계룡시,"21,321"
201801,충남,공주시,"53,583"
201801,충남,금산,"29,472"
201801,충남,논산시,"60,653"
201801,충남,당진시,"91,501"
201801,충남,보령,"50,829"
201801,충남,부여,"34,383"
201801,충남,서산,"88,831"
201801,충남,서천군,"27,450"
201801,충남,아산시,"157,520"
201801,충남,예산군,"42,113"
201801,충남,천안,"124,852"
201801,충남,천안,"178,062"
201801,충남,청양군,"17,178"
201801,충남,태안군,"32,703"
201801,충남,홍성,"51,066"
201801,전북,계,"894,354"
201801,전북,고창,"30,025"
201801,전북,군산,"130,535"
201801,전북,김제시,"45,094"
201801,전북,남원,"42,419"
201801,전북,무주군,"12,474"
201801,전북,부안,"27,371"
201801,전북,순창,"14,174"
201801,전북,완주군,"53,007"
201801,전북,익산시,"139,462"
201801,전북,임실,"14,558"
201801,전북,장수,"11,739"
201801,전북,전주,"151,768"
201801,전북,전주,"153,263"
201801,전북,정읍,"54,905"
201801,전북,진안군,"13,560"
201801,전남,계,"997,919"
201801,전남,강진,"18,891"
201801,전남,고흥,"30,153"
201801,전남,곡성군,"14,954"
201801,전남,광양,"81,922"
201801,전남,구례군,"13,321"
201801,전남,나주시,"59,401"
201801,전남,담양군,"26,592"
201801,전남,목포,"98,212"
201801,전남,무안군,"41,603"
201801,전남,보성,"89,342"
201801,전남,순천,"131,979"
201801,전남,신안군,"20,590"
201801,전남,여수,"128,847"
201801,전남,영광,"26,744"
201801,전남,영암군,"41,806"
201801,전남,완도,"24,159"
201801,전남,장성군,"25,525"
201801,전남,장흥,"19,669"
201801,전남,진도군,"16,037"
201801,전남,함평군,"17,631"
201801,전남,해남,"37,774"
201801,전남,화순군,"32,767"
201801,경북,계,"1,395,844"
201801,경북,경산시,"132,913"
201801,경북,경주,"138,465"
201801,경북,고령군,"20,716"
201801,경북,구미,"208,378"
201801,경북,군위군,"14,336"
201801,경북,김천시,"71,334"
201801,경북,문경,"35,212"
201801,경북,봉화,"17,064"
201801,경북,상주,"52,168"
201801,경북,성주군,"30,579"
201801,경북,안동,"81,685"
201801,경북,영덕,"18,658"
201801,경북,영양군,"9,203"
201801,경북,영주,"55,391"
201801,경북,영천,"57,957"
201801,경북,예천군,"25,269"
201801,경북,울릉군,"5,447"
201801,경북,울진,"25,473"
201801,경북,의성,"29,699"
201801,경북,청도군,"24,127"
201801,경북,청송군,"14,789"
201801,경북,칠곡군,"69,029"
201801,경북,포항,"126,701"
201801,경북,포항,"131,251"
201801,경남,계,"1,671,341"
201801,경남,거제,"105,290"
201801,경남,거창,"30,874"
201801,경남,고성군,"26,363"
201801,경남,김해,"258,343"
201801,경남,남해,"19,117"
201801,경남,밀양,"57,243"
201801,경남,사천시,"54,809"
201801,경남,산청,"19,719"
201801,경남,양산,"159,085"
201801,경남,의령,"14,286"
201801,경남,진주,"160,503"
201801,경남,창녕군,"34,854"
201801,경남,창원,"102,091"
201801,경남,창원,"101,150"
201801,경남,창원,"140,497"
201801,경남,창원,"131,836"
201801,경남,창원,"84,731"
201801,경남,통영,"53,210"
201801,경남,하동군,"24,321"
201801,경남,함안군,"51,188"
201801,경남,함양,"18,955"
201801,경남,합천,"22,876"
201801,제주,계,"504,384"
201801,제주,서귀포시,"100,018"
201801,제주,제주,"404,366"
201802,서울,계,"3,118,125"
201802,부산,계,"1,339,684"
201802,대구,계,"1,161,086"
201802,인천,계,"1,523,039"
201802,광주,계,"651,797"
201802,대전,계,"661,224"
201802,울산,계,"551,530"
201802,세종,계,"133,429"
201802,세종,세종,"133,429"
201802,경기,계,"5,419,963"
201802,경기,가평군,"29,515"
201802,경기,고양시 덕양구,"161,859"
201802,경기,고양시 일산동구,"123,819"
201802,경기,고양시 일산서구,"111,388"
201802,경기,과천시,"21,148"
201802,경기,광명시,"107,401"
201802,경기,광주,"174,890"
201802,경기,구리시,"70,225"
201802,경기,군포시,"99,838"
201802,경기,김포시,"183,782"
201802,경기,남양주시,"267,701"
201802,경기,동두천시,"37,736"
201802,경기,부천시,"303,143"
201802,경기,성남시 분당구,"190,572"
201802,경기,성남시 수정구,"72,906"
