시도,시군구,월,PM25,PM10,SO2,O3,NO2,CO,평균기온(℃),평균최고기온(℃),최고기온(℃),평균최저기온(℃),최저기온(℃),강수량(mm),일최다강수량(mm),평균풍속(m/s),최대풍속(m/s),최대풍속풍향(deg),최대순간풍속(m/s),최대순간풍속풍향(deg),일조합(hr),일조율(%),평균습도(%rh),최저습도(%rh)
강원특별자치도,강릉,201801,27,33,0.005,0.027,0.02,0.5,-0.2,4.4,12.5,-3.9,-14.2,2.5,1.5,3.3,9,250,18,270,225.5,73.5,32,10
강원특별자치도,강릉,201802,23,37,0.005,0.03,0.011,0.5,0.5,5.2,11.2,-3.8,-10.7,52,52,3,10.7,250,18.6,270,224.2,74.16,38,9
강원특별자치도,강릉,201803,25,37,0.005,0.038,0.015,0.4,9.2,14,25.8,4.1,-3,94,36,2.7,9.9,340,17.4,200,210.9,56.88,51,10
강원특별자치도,강릉,201804,24,49,0.002,0.044,0.015,0.3,14.5,19.7,32.3,9.2,1.5,151.4,52.5,2.8,13.6,230,22.3,230,242.6,61.34,48,5
강원특별자치도,강릉,201805,21,47,0.002,0.046,0.013,0.3,17.3,21.7,32.1,13.1,5.2,162.9,69,2.2,8.6,230,16.6,230,208.6,47.34,67,15
강원특별자치도,강릉,201806,18,37,0.002,0.048,0.013,0.3,23.2,27.3,34.5,19.3,13.5,38.6,21.5,2,8.3,340,15.2,340,235.5,53.21,61,19
강원특별자치도,강릉,201807,17,32,0.002,0.033,0.011,0.2,26.8,30.2,37.2,23.9,15.9,195.5,47,1.9,7.1,110,12.1,230,219.3,48.8,72,27
강원특별자치도,강릉,201808,13,31,0.002,0.025,0.01,0.3,26.2,29.9,38.2,22.9,18.2,419.1,200,1.7,5.8,340,11.8,250,182.9,43.36,77,34
강원특별자치도,강릉,201809,17,24,0.003,0.027,0.012,0.3,20,23.9,29.1,16.5,12.1,161.2,37,1.9,6.7,230,14.1,180,178.6,47.84,72,30
강원특별자치도,강릉,201810,14,24,0.003,0.033,0.006,0.2,14.1,18.5,25.9,10.4,4.3,248,144.5,2.6,9.1,230,17.1,340,238.7,68.55,57,19
강원특별자치도,강릉,201811,19,46,0.003,0.028,0.018,0.3,10,14.4,21.6,6.6,0,51.3,31,2.2,8.2,230,16.6,290,185.5,60.84,53,15
강원특별자치도,강릉,201812,16,30,0.004,0.024,0.017,0.3,2.7,7.3,14.9,-1.1,-9.9,22.9,13.5,2.8,8.3,250,14.6,110,217.8,73.06,41,6
강원특별자치도,강릉,201901,23,41,0.005,0.029,0.017,0.3,2.8,7.7,13.7,-1.1,-6.2,16.6,13,3.3,7.9,230,15.4,180,240.6,78.47,34,3
강원특별자치도,강릉,201902,25,42,0.004,0.034,0.016,0.4,3.8,8.2,16.5,-0.1,-5,17.7,9,2.7,8.6,250,13.8,200,219.1,72.55,44,11
강원특별자치도,강릉,201903,32,51,0.003,0.046,0.014,0.3,8.9,13.8,22.4,4.4,0,49.6,10,2.9,9.1,250,17,250,237.7,64.16,47,6
강원특별자치도,강릉,201904,16,36,0.002,0.042,0.013,0.3,12.6,17.1,25.1,7.5,1.8,85.5,36.5,2.5,11.6,230,19.9,230,223.9,56.67,51,7
강원특별자치도,강릉,201905,21,47,0.002,0.059,0.012,0.3,21,26.2,34.8,15.8,8.9,4.5,2,2.7,8.5,250,14.4,270,296,67.2,44,10
강원특별자치도,강릉,201906,16,32,0.002,0.045,0.01,0.3,21.4,26.5,34.1,17.3,11.9,132.2,69,1.9,6,230,9.9,200,225.7,51.01,69,18
강원특별자치도,강릉,201907,14,29,0.001,0.038,0.008,0.3,25.8,29.1,35.4,23.1,18,220.8,100.5,2.1,6.4,230,12.5,230,202.1,44.95,71,31
강원특별자치도,강릉,201908,12,28,0.001,0.034,0.009,0.4,26.5,30.8,36.4,23.3,20.4,264.5,161.5,2,6.4,230,11.2,70,226,53.54,72,28
강원특별자치도,강릉,201909,10,25,0.001,0.028,0.009,0.2,21.5,25.9,33.4,18.2,13.8,233.3,78.5,1.8,9.2,180,18.1,230,146.8,39.3,76,27
강원특별자치도,강릉,201910,13,29,0.001,0.026,0.009,0.2,16.6,21.6,25.1,13,8.6,536,310,2.2,10.2,360,19,360,164.3,47.14,67,19
강원특별자치도,강릉,201912,17,30,0.002,0.028,0.015,0.4,5.3,10,16.5,1.3,-5.6,5.1,5,2.7,7.3,250,16.4,290,187.6,62.85,47,11
강원특별자치도,강릉,202001,14,25,0.002,0.028,0.014,0.5,4.4,8.1,12.5,1.7,-3,107.5,50,2.7,7,230,14.5,230,156.4,51.04,56,15
강원특별자치도,강릉,202002,19,32,0.003,0.033,0.014,0.6,5,9.6,16.7,0.9,-7.1,77.5,43.5,2.8,10,250,18.3,250,196.1,62.63,53,16
강원특별자치도,강릉,202003,16,36,0.002,0.039,0.011,0.4,8.7,13.9,21.7,3.6,-0.3,47.1,17.3,2.6,10.6,230,23.4,230,251.2,67.62,56,16
강원특별자치도,강릉,202004,15,38,0.002,0.047,0.011,0.3,11.8,16.4,26.8,7.1,1.4,65.6,23.3,2.8,9.7,250,18.7,250,229.5,57.95,51,14
강원특별자치도,강릉,202005,12,32,0.003,0.042,0.011,0.5,18.3,22.9,32.5,14.3,8.3,95.5,26.7,2.3,7.6,320,16.9,250,207.4,47.01,65,16
강원특별자치도,강릉,202006,18,42,0.003,0.047,0.01,0.4,24.1,28.2,34.5,20.1,15.2,270.4,250,2.2,8,230,14.8,230,212.7,48.05,67,26
강원특별자치도,강릉,202007,8,14,0.002,0.029,0.01,0.5,22.4,25.5,33.4,19.6,14.8,375.9,121.8,1.6,6.2,230,12.4,230,125.9,28.04,83,42
강원특별자치도,강릉,202008,11,17,0.002,0.026,0.011,0.5,27,30.5,36.5,24.1,20.2,150.4,37.9,1.8,8.7,230,16.9,250,113.3,26.9,77,37
강원특별자치도,강릉,202009,11,27,0.003,0.035,0.009,0.5,20.6,24.5,29.7,17.2,11.5,613.8,236.2,2.2,10.3,230,23.6,230,139.5,37.43,75,30
강원특별자치도,강릉,202010,14,31,0.002,0.037,0.01,0.5,15.1,20.1,26.6,10.8,6.4,0.6,0.5,2.2,5.7,230,12.3,200,203.3,58.52,60,15
강원특별자치도,강릉,202011,19,32,0.003,0.033,0.013,0.4,11,15.6,25.5,6.7,-0.1,7.7,7.7,2.7,10.8,200,22.5,140,194.9,63.99,48,14
강원특별자치도,강릉,202101,12,32,0.003,0.031,0.015,0.4,0.6,5.7,15.4,-3.9,-15.1,11.4,8.8,2.6,8.7,250,17.7,320,200.2,65.23,46,13
강원특별자치도,강릉,202102,17,39,0.003,0.037,0.014,0.3,4.9,10.3,20.7,0,-8.9,5.1,5.1,2.9,12.1,250,22.3,230,203.4,67.2,50,17
강원특별자치도,강릉,202103,16,55,0.003,0.04,0.015,0.5,9.7,14.8,21.1,5,-3.4,122,79.7,2.3,8.3,250,16.1,230,201,54.16,60,12
강원특별자치도,강릉,202104,13,45,0.002,0.046,0.011,0.3,13.8,18.9,25.1,8.9,2.2,108.1,43.3,2.2,7.4,230,14.9,250,217.6,54.96,56,16
강원특별자치도,강릉,202105,14,50,0.002,0.048,0.009,0.4,17.9,22.5,30.9,13.4,8.4,157.5,63.5,2.4,9.7,230,22.8,230,205.4,46.58,60,15
강원특별자치도,강릉,202106,10,28,0.002,0.04,0.01,0.4,22,25.9,30.3,18.4,13.9,32.5,14.2,1.8,8.6,230,15.1,230,159.1,35.94,73,29
강원특별자치도,강릉,202107,9,21,0.002,0.03,0.01,0.3,26.7,30.8,35.6,23.1,18.9,142.2,57.7,1.5,4.8,230,9.7,200,214.7,47.79,77,50
강원특별자치도,강릉,202108,6,20,0.002,0.032,0.01,0.2,25.5,29,36.5,22.7,18.4,438.1,135.9,1.8,6.9,230,15.9,230,72.9,17.87,77,39
강원특별자치도,강릉,202109,5,15,0.003,0.029,0.009,0.2,21.7,25.5,29.6,18.5,15.8,111.6,76.9,1.7,5.3,290,10.3,200,134.2,35.98,77,42
강원특별자치도,강릉,202110,8,21,0.003,0.034,0.008,0.3,16.5,21.4,32.3,12.5,2.7,130.9,48.8,1.9,6.9,320,13,250,159.1,45.73,70,21
강원특별자치도,강릉,202111,14,32,0.003,0.035,0.012,0.3,11.1,16.3,22.2,7,-0.2,13.1,5.2,2.6,9.1,230,17.3,200,197.5,64.82,52,14
강원특별자치도,강릉,202112,11,26,0.003,0.031,0.013,0.3,4.4,9.5,17.1,0.1,-12,43.9,17.6,2.9,7.9,250,17.2,250,207.2,69.48,48,16
