시도,시군구,월,대중교통,PM25,PM10,SO2,O3,NO2,CO,평균기온,평균최고기온,최고기온,평균최저기온,최저기온,강수량,일최다강수량,평균풍속,최대풍속,최대풍속풍향,최대순간풍속,최대순간풍속풍향,일조합,일조율,평균습도,최저습도,자동차등록수,공원면적,계절
강원특별자치도,강릉,201801,0.305641793,50.94339623,33.67346939,21.46596859,35.59322034,40.90909091,40,18.2320442,15.07246377,17.85714286,22.27848101,19.41544885,0.263880093,0.402360515,63.63636364,24,67.64705882,34.23913043,73.52941176,65.55354994,86.14491933,0,15.51724138,2.888222928,1.754346788,겨울
강원특별자치도,강릉,201802,0.095898589,43.39622642,37.75510204,21.46596859,40.6779661,20.45454545,40,20.16574586,17.39130435,13.98809524,22.53164557,26.7223382,5.488705932,13.94849785,56.81818182,30.8,67.64705882,35.86956522,73.52941176,65.16245487,87.07896971,9.375,13.79310345,2.891649127,1.754346788,겨울
강원특별자치도,강릉,201803,0.366873995,47.16981132,37.75510204,21.46596859,54.23728814,29.54545455,30,44.19889503,42.89855072,57.44047619,42.53164557,42.79749478,9.921891493,9.656652361,50,27.6,94.11764706,32.60869565,52.94117647,61.1612515,62.62383244,29.6875,15.51724138,2.900041743,1.754346788,봄
강원특별자치도,강릉,201804,0.349971122,45.28301887,50,5.759162304,64.40677966,29.54545455,20,58.83977901,59.42028986,76.78571429,55.44303797,52.19206681,15.98057843,14.08261803,52.27272727,42.4,61.76470588,45.92391304,61.76470588,70.69795427,68.93574866,25,6.896551724,2.91468953,1.754346788,봄
강원특별자치도,강릉,201805,0.36815709,39.62264151,47.95918367,5.759162304,67.79661017,25,20,66.57458564,65.2173913,76.19047619,65.3164557,59.91649269,17.19442685,18.50858369,38.63636364,22.4,61.76470588,30.43478261,61.76470588,60.46931408,49.12255873,54.6875,24.13793103,2.923050713,1.754346788,봄
강원특별자치도,강릉,201806,0.353500224,33.96226415,37.75510204,5.759162304,71.18644068,25,20,82.87292818,81.44927536,83.33333333,81.01265823,77.24425887,4.074308634,5.767167382,34.09090909,21.2,94.11764706,26.63043478,94.11764706,68.56197353,57.42994622,45.3125,31.03448276,2.93062607,1.754346788,여름
강원특별자치도,강릉,201807,0.33186225,32.0754717,32.65306122,5.759162304,45.76271186,20.45454545,10,92.81767956,89.85507246,91.36904762,92.65822785,82.25469729,20.63542326,12.60729614,31.81818182,16.4,26.47058824,18.20652174,61.76470588,63.68832732,51.1887914,62.5,44.82758621,2.942004823,1.754346788,여름
강원특별자치도,강릉,201808,0.347405718,24.52830189,31.63265306,5.759162304,32.20338983,18.18181818,20,91.16022099,88.98550725,94.3452381,90.12658228,87.05636743,44.23685877,53.64806867,27.27272727,11.2,94.11764706,17.39130435,67.64705882,52.73766546,43.48995188,70.3125,56.89655172,2.948354293,1.754346788,여름
강원특별자치도,강릉,201809,0.328931034,32.0754717,24.48979592,10.9947644,35.59322034,22.72727273,20,74.03314917,71.5942029,67.26190476,73.92405063,74.32150313,17.01498839,9.924892704,31.81818182,14.8,61.76470588,23.64130435,47.05882353,51.44404332,49.83017266,62.5,50,2.95394937,1.754346788,가을
강원특별자치도,강릉,201810,0.344377739,26.41509434,24.48979592,10.9947644,45.76271186,9.090909091,10,57.73480663,55.94202899,57.73809524,58.48101266,58.03757829,26.17690521,38.76072961,47.72727273,24.4,61.76470588,31.79347826,94.11764706,69.52466907,79.13954147,39.0625,31.03448276,2.960393139,1.754346788,가을
