시도,합계,월,시군구
광주광역시,5499353,201801,광주광역시
대구광역시,12278729,201801,대구광역시
대전광역시,6633044,201801,대전광역시
부산광역시,27469352,201801,부산광역시
서울특별시,116364591,201801,서울특별시
세종특별자치시,574531,201801,세종특별자치시
울산광역시,3619136,201801,울산광역시
인천광역시,19748198,201801,인천광역시
경기도,139108,201801,가평
경기도,7043537,201801,고양
경기도,548476,201801,과천
경기도,2819586,201801,광명
경기도,1612665,201801,광주
경기도,1372823,201801,구리
경기도,2351546,201801,군포
경기도,1683811,201801,김포
경기도,3480869,201801,남양주
경기도,476276,201801,동두천
경기도,6842195,201801,부천
경기도,8712635,201801,성남
경기도,7666454,201801,수원
경기도,1827081,201801,시흥
경기도,3726401,201801,안산
경기도,407583,201801,안성
경기도,5169388,201801,안양
경기도,1070793,201801,양주
경기도,251821,201801,양평
경기도,181630,201801,여주
경기도,81742,201801,연천
경기도,917499,201801,오산
경기도,5201018,201801,용인
경기도,946679,201801,의왕
경기도,3141312,201801,의정부
경기도,418990,201801,이천
경기도,1846406,201801,파주
경기도,1549596,201801,평택
경기도,403739,201801,포천
경기도,1220387,201801,하남
경기도,2360262,201801,화성
강원특별자치도,389034,201801,강릉
강원특별자치도,32115,201801,고성
강원특별자치도,225856,201801,동해
강원특별자치도,23686,201801,삼척
강원특별자치도,135985,201801,속초
강원특별자치도,9564,201801,양구
강원특별자치도,26658,201801,양양
강원특별자치도,8602,201801,영월
강원특별자치도,707109,201801,원주
강원특별자치도,11324,201801,인제
강원특별자치도,14907,201801,정선
강원특별자치도,21976,201801,철원
강원특별자치도,607854,201801,춘천
강원특별자치도,40680,201801,태백
강원특별자치도,11838,201801,평창
강원특별자치도,33982,201801,홍천
강원특별자치도,15335,201801,화천
강원특별자치도,23781,201801,횡성
충청북도,27230,201801,괴산
충청북도,25080,201801,단양
충청북도,33339,201801,보은
충청북도,50070,201801,옥천
충청북도,2233,201801,음성
충청북도,148618,201801,제천
충청북도,87087,201801,증평
충청북도,77326,201801,진천
충청북도,2204518,201801,청주
충청북도,11275,201801,충주
충청남도,65342,201801,계룡
충청남도,164191,201801,공주
충청남도,36099,201801,금산
충청남도,134720,201801,논산
충청남도,185887,201801,당진
충청남도,8,201801,보령
충청남도,56880,201801,부여
충청남도,168358,201801,서산
충청남도,32404,201801,서천
충청남도,623050,201801,아산
충청남도,83011,201801,예산
충청남도,2090330,201801,천안
충청남도,12885,201801,청양
충청남도,37373,201801,태안
충청남도,78145,201801,홍성
전라북도,32,201801,고창
전라북도,296577,201801,군산
전라북도,53131,201801,김제
전라북도,51981,201801,남원
전라북도,374,201801,무주
전라북도,23328,201801,부안
전라북도,5953,201801,순창
전라북도,145281,201801,완주
전라북도,474482,201801,익산
전라북도,11826,201801,임실
전라북도,117,201801,장수
전라북도,1571592,201801,전주
전라북도,80313,201801,정읍
전라북도,29993,201801,진안
전라남도,2281,201801,강진
전라남도,17882,201801,고흥
전라남도,3072,201801,곡성
전라남도,133015,201801,광양
전라남도,5845,201801,구례
전라남도,394958,201801,나주
전라남도,86183,201801,담양
전라남도,408308,201801,목포
전라남도,71581,201801,무안
전라남도,26408,201801,보성
전라남도,624062,201801,순천
전라남도,4815,201801,신안
전라남도,686603,201801,여수
전라남도,9733,201801,영광
전라남도,27461,201801,영암
전라남도,5144,201801,완도
전라남도,42159,201801,장성
전라남도,25,201801,장흥
전라남도,38173,201801,함평
전라남도,9144,201801,해남
전라남도,232201,201801,화순
경상북도,1037581,201801,경산
