큰_도시,작은_도시,공원명,공원구분,소재지지번주소,위도,경도,공원면적
서울특별시,서울특별시,남문,어린이공원,서울특별시 금천구 독산동 160-6,37.472321,126.900396,883.6
서울특별시,서울특별시,구룡,어린이공원,서울특별시 금천구 독산동 964,37.477891,126.9027669,934.9
서울특별시,서울특별시,반수,어린이공원,서울특별시 금천구 독산동 980-44,37.4740151,126.902233,990.6
서울특별시,서울특별시,한사랑,어린이공원,서울특별시 금천구 독산동 925-2,37.467716,126.904573,585.9
서울특별시,서울특별시,쌈지,어린이공원,서울특별시 금천구 독산동 189-1,37.47090493,126.9039831,982.8
서울특별시,서울특별시,소망,어린이공원,서울특별시 금천구 독산동 196-8,37.46936829,126.9016706,998
서울특별시,서울특별시,남서울,어린이공원,서울특별시 금천구 시흥동 986-2,37.448336,126.902123,1155.7
서울특별시,서울특별시,새재미,어린이공원,서울특별시 금천구 시흥동 855,37.45884579,126.904239,1185.2
서울특별시,서울특별시,해태,어린이공원,서울특별시 금천구 시흥동 871-24,37.457773,126.901866,962.6
서울특별시,서울특별시,부장천,어린이공원,서울특별시 금천구 시흥동 893,37.45266794,126.9044062,944
서울특별시,서울특별시,풍림,어린이공원,서울특별시 금천구 시흥동 1026-3,37.44783408,126.9017969,2195
서울특별시,서울특별시,중앙,어린이공원,서울특별시 금천구 시흥동 1027-2,37.44641126,126.9016027,1515
서울특별시,서울특별시,꾸러기,어린이공원,서울특별시 금천구 시흥동 943-16,37.44316993,126.905877,359.4
서울특별시,서울특별시,비둘기,어린이공원,서울특별시 금천구 시흥동 947-4,37.441597,126.906264,985.2
서울특별시,서울특별시,까치,어린이공원,서울특별시 금천구 시흥동 959-2,37.439645,126.904994,925.3
서울특별시,서울특별시,진달래,어린이공원,서울특별시 금천구 시흥동 970-3,37.434878,126.904883,992.2
서울특별시,서울특별시,단군,어린이공원,서울특별시 금천구 시흥동 169-21,37.45569721,126.9086585,250
서울특별시,서울특별시,신기,어린이공원,서울특별시 양천구 신정3동 1260,37.514092,126.854244,1534
서울특별시,서울특별시,계남,근린공원,"서울특별시 양천구 신정3동 521, 621일대",37.513745,126.844816,440173
서울특별시,서울특별시,푸른,어린이공원,서울특별시 양천구 신정3동 1283-1,37.511603,126.837445,2574.9
서울특별시,서울특별시,신이,어린이공원,서울특별시 양천구 신정3동 1284-1,37.512521,126.837529,1510.3
서울특별시,서울특별시,넘은들,근린공원,서울특별시 양천구 신정3동 1286,37.512951,126.840441,16159.6
서울특별시,서울특별시,하늘마루,어린이공원,서울특별시 양천구 신정3동 1316-2,37.512571,126.831703,1500
서울특별시,서울특별시,연의,근린공원,서울특별시 양천구 신정3동 1320-9외 6필지,37.514067,126.830401,37520
서울특별시,서울특별시,숲속,어린이공원,서울특별시 양천구 신정3동 1322-10,37.514551,126.830941,1500
서울특별시,서울특별시,넓은들,어린이공원,서울특별시 양천구 신정3동 767,37.511317,126.839385,3288
서울특별시,서울특별시,신정3동소공원,소공원,서울특별시 양천구 신정3동 831,37.50612432,126.8339302,3353
서울특별시,서울특별시,동개울,어린이공원,서울특별시 양천구 신정4동 876-1,37.527916,126.856519,991.2
서울특별시,서울특별시,오구,어린이공원,서울특별시 양천구 신정4동 888-1,37.527272,126.861874,738.4
서울특별시,서울특별시,홍익,어린이공원,서울특별시 양천구 신정4동 896-22,37.528547,126.862274,990.8
서울특별시,서울특별시,앞산,어린이공원,서울특별시 양천구 신정4동 910-9,37.526441,126.858307,1050.5
서울특별시,서울특별시,진주,어린이공원,서울특별시 양천구 신정4동 920-3,37.526494,126.855036,940.5
서울특별시,서울특별시,음골,어린이공원,서울특별시 양천구 신정4동 936-13,37.527336,126.851231,995.4
서울특별시,서울특별시,안산,어린이공원,서울특별시 양천구 신정4동 949-4,37.524593,126.856172,992.1
서울특별시,서울특별시,새뚝,어린이공원,서울특별시 양천구 신정4동 955-1,37.524029,126.857728,961.3
서울특별시,서울특별시,은행정,어린이공원,서울특별시 양천구 신정4동 975-30,37.522027,126.855022,1062.2
서울특별시,서울특별시,아랫말,어린이공원,서울특별시 양천구 신정4동 990-1,37.525063,126.861828,947.7
서울특별시,서울특별시,양천,근린공원,서울특별시 양천구 신정6동 320,37.518124,126.867861,33797.9
서울특별시,서울특별시,꿈동산,어린이공원,서울특별시 양천구 신정6동 314-1,37.521912,126.867457,3730.1
서울특별시,서울특별시,다람쥐,어린이공원,서울특별시 양천구 신정6동 327-1,37.513482,126.866021,2265.5
서울특별시,서울특별시,까치,어린이공원,서울특별시 양천구 신정6동 328-1,37.514958,126.868243,2149.8
서울특별시,서울특별시,꿈나래,어린이공원,서울특별시 양천구 신정6동 329-2,37.516283,126.869774,2433.9
서울특별시,서울특별시,기린,어린이공원,서울특별시 양천구 신정6동 330-1,37.516283,126.869774,2029.7
서울특별시,서울특별시,사슴,어린이공원,서울특별시 양천구 신정6동 332-1,37.515672,126.873427,2511.3
서울특별시,서울특별시,갈산,근린공원,서울특별시 양천구 신정7동 162-56,37.508129,126.869032,139576
서울특별시,서울특별시,햇빛,어린이공원,서울특별시 강서구 내발산동 384-2,37.555822,126.826886,2066
서울특별시,서울특별시,마곡지구4호,근린공원,서울특별시 강서구 마곡동 811-5,37.568317,126.826463,35884
서울특별시,서울특별시,푸른수명산,소공원,서울특별시 강서구 화곡동 1091-15,37.544175,126.830269,822.9
서울특별시,서울특별시,마곡,소공원,서울특별시 강서구 마곡동 737-16,37.567478,126.822146,1085.2
서울특별시,서울특별시,염창,소공원,서울특별시 강서구염창동 309-1,37.549839,126.870745,1229.2
서울특별시,서울특별시,염창2,소공원,서울특별시 강서구염창동 306-1,37.551722,126.873857,272.5
서울특별시,서울특별시,탑산(가양동),문화공원,서울특별시 강서구가양동 1499,37.566194,126.846336,3783.8
서울특별시,서울특별시,새개,문화공원,서울특별시 강서구마곡동 800-7,37.558287,126.83003,3836.6
서울특별시,서울특별시,놋다리,문화공원,서울특별시 강서구마곡동 790-6,37.566207,126.84614,2574.7
서울특별시,서울특별시,똘고랑,문화공원,서울특별시 강서구 마곡동 756-4,37.571433,126.826326,3089.9
서울특별시,서울특별시,선두암,문화공원,서울특별시 강서구 마곡동 778-4,37.567379,126.83817,2581.3
서울특별시,서울특별시,한다리,문화공원,서울특별시 강서구 마곡동 727-1038,37.56106,126.830369,8298
서울특별시,서울특별시,가로공원1호,가로공원,서울특별시 강서구 마곡동 797-5,37.559061,126.837242,2618.5
서울특별시,서울특별시,청량,근린공원,서울특별시 성북구 석관동 409,37.60297064,127.0539954,329290
서울특별시,서울특별시,덕수천,근린공원,서울특별시 은평구진관동 14-3,37.609251,126.90656,5569.1
서울특별시,서울특별시,마고정,근린공원,서울특별시 은평구진관동 101-2,37.611787,126.909981,4551.6
서울특별시,서울특별시,우물골,근린공원,"서울특별시 은평구진관동 85-1,2,3",37.63513448,126.9253782,7203.1
서울특별시,서울특별시,신도,근린공원,서울특별시 은평구진관동 206-21,37.594288,126.919595,12020
서울특별시,서울특별시,마실길,근린공원,서울특별시 은평구진관동 125-22,37.64118472,126.9428673,45170.5
서울특별시,서울특별시,역촌동소공원,소공원,"서울특별시 은평구 역촌동85-34,36",37.611442,126.910162,318
서울특별시,서울특별시,거북이소공원,소공원,서울특별시 은평구 구산동 309-38,37.614886,126.907774,250
서울특별시,서울특별시,요  산소공원,소공원,서울특별시 은평구 불광동 13-33외 3,37.591827,126.918252,805
서울특별시,서울특별시,응암9구역소공원,소공원,서울특별시 은평구 응암동 761-7,37.609041,126.929362,880.8
서울특별시,서울특별시,불광3구역소공원,소공원,서울특별시 은평구 불광동641-1일대,37.648497,126.929826,7274.1
서울특별시,서울특별시,불광6구역소공원,소공원,서울특별시 은평구 불광동 638-3 일대,37.648497,126.929826,1919
서울특별시,서울특별시,불광7구역소공원,소공원,서울특별시 은평구 불광동 643-3,37.646145,126.927556,3120
