시도,시군구,월,PM25,PM10,SO2,O3,NO2,CO
강원특별자치도,양구,202402,13,16,0.0014,0.0302,0.0088,0.42
강원특별자치도,고성,202402,13,22,0.0021,0.0397,0.0048,0.31
강원특별자치도,정선,202402,12,21,0.0019,0.0328,0.0091,0.4
강원특별자치도,횡성,202402,18,25,0.0019,0.0282,0.0119,0.46
강원특별자치도,춘천,202402,15*,23*,0.0022*,0.0307*,0.0106*,0.41*
강원특별자치도,강릉,202402,14,23,0.0022,0.0351,0.0104,0.41
강원특별자치도,원주,202402,20,27,0.0025,0.0257*,0.0139,0.43
강원특별자치도,동해,202402,12,21,0.0015,0.0357,0.0126,0.33
강원특별자치도,삼척,202402,14,21,0.0016,0.027,0.0132,0.37
강원특별자치도,평창,202402,15,27,0.0015,0.0287,0.0092,0.38
강원특별자치도,양양,202402,12,18,0.0021,0.0371,0.0069,0.43
강원특별자치도,속초,202402,17,26,0.0037,0.0304,0.0115,0.39
강원특별자치도,영월,202402,15,22,0.0011,0.0256,0.0093,0.38
강원특별자치도,철원,202402,18,27,0.0023,0.0311,0.0073,0.29
강원특별자치도,홍천,202402,18,27,0.0023,0.0234,0.0136,0.29
강원특별자치도,화천,202402,16,27,0.0016,0.0275,0.0084,0.39
강원특별자치도,태백,202402,11,20,0.0027,0.0359,0.0104,0.51
강원특별자치도,인제,202402,11,20,0.0019,0.0311,0.0061,0.31
강원특별자치도,도평균,202402,15,24,0.0021,0.0305,0.0104,0.39
강원특별자치도,양구,202401,19,22,0.0016,0.0258,0.0122,0.48
강원특별자치도,고성,202401,14,23,0.0025,0.0357,0.0053,0.37
강원특별자치도,정선,202401,17,29,0.0019,0.029,0.0116,0.39
강원특별자치도,횡성,202401,26,36,0.0022,0.0205,0.0145,0.52
강원특별자치도,춘천,202401,21*,30*,0.0030*,0.0246*,0.0151*,0.53*
강원특별자치도,강릉,202401,15,24,0.0027,0.0327,0.0107,0.47
강원특별자치도,원주,202401,27,36,0.003,0.0179,0.0193,0.56
강원특별자치도,동해,202401,14,20,0.0022,0.0317,0.0151,0.37
강원특별자치도,삼척,202401,13,20,0.002,0.0258,0.0142,0.39
강원특별자치도,평창,202401,20,35,0.0016,0.0229,0.0129,0.43
강원특별자치도,양양,202401,12,19,0.0026,0.0386,0.0062,0.47
강원특별자치도,속초,202401,17,26,0.0039,0.0261,0.012,0.41
강원특별자치도,영월,202401,22,30,0.0009,0.0206,0.014,0.49
강원특별자치도,철원,202401,23,35,0.003,0.0261,0.0112,0.36
강원특별자치도,홍천,202401,27,38,0.0026,0.0158,0.0182,0.4
강원특별자치도,화천,202401,22,37,0.0028,0.0209,0.0142,0.52
강원특별자치도,태백,202401,12,23,0.0029,0.0344,0.0102,0.52
강원특별자치도,인제,202401,15,28,0.0019,0.0308,0.0085,0.36
강원특별자치도,도평균,202401,20,29,0.0025,0.0255,0.0135,0.47
강원특별자치도,양구,202309,6,13,0.002,0.0241,0.0031,0.29
강원특별자치도,정선,202309,9,16,0.0018,0.0258,0.0053,0.29
강원특별자치도,춘천,202309,6*,19*,0.0016*,0.0273*,0.0042*,0.27*
강원특별자치도,강릉,202309,8,15,0.0017,0.0312,0.0055,0.28
강원특별자치도,원주,202309,11,21,0.0016,0.03,0.0066,0.28
강원특별자치도,동해,202309,7,17,0.001,0.0319,0.0075,0.31
강원특별자치도,삼척,202309,7,16,0.001,0.0162,0.0088,0.31
강원특별자치도,평창,202309,8,17,0.001,0.0236,0.0052,0.22
강원특별자치도,양양,202309,6,13,0.002,0.0347,0.0035,0.48
강원특별자치도,영월,202309,5,16,0.002,0.0284,0.0041,0.48
강원특별자치도,철원,202309,10,21,0.0021,0.0262,0.0031,0.21
강원특별자치도,홍천,202309,9,18,0.0024,0.0229,0.0053,0.23
강원특별자치도,화천,202309,7,18,0.002,0.0186,0.0028,0.29*
강원특별자치도,태백,202309,7,13,0.0021,0.0305,0.0056,0.39
강원특별자치도,인제,202309,6,15,0.0018,0.029,0.0032,0.28
강원특별자치도,도평균,202309,8,17,0.0018,0.0275,0.0051,0.3
강원특별자치도,양구,202308,6,11,0.002,0.024,0.003,0.24
강원특별자치도,정선,202308,2,9,0.0018,0.0265,0.0045,0.29
강원특별자치도,횡성,202308,8*,16*,0.0019*,0.0280*,0.0057*,0.53*
강원특별자치도,춘천,202308,6*,18*,0.0016*,0.0294*,0.0044*,0.33*
강원특별자치도,강릉,202308,8,16,0.0018,0.0293,0.0059,0.24
강원특별자치도,원주,202308,12,25,0.0016,0.03,0.006,0.3
강원특별자치도,동해,202308,8,21,0.001,0.0292,0.0073,0.29
강원특별자치도,삼척,202308,8,18,0.001,0.0186,0.0081,0.28
강원특별자치도,평창,202308,9,17,0.0017,0.0246,0.0048,0.21
강원특별자치도,양양,202308,5,13,0.0016,0.0348,0.0031,0.42*
강원특별자치도,영월,202308,9,18,0.002,0.0275,0.0041,0.54
강원특별자치도,철원,202308,10,20,0.0022,0.0283,0.0033,0.19
강원특별자치도,홍천,202308,9,15,0.003,0.0249,0.0052,0.22
강원특별자치도,화천,202308,7,16,0.002,0.0186,0.0028,0.33
강원특별자치도,태백,202308,4,7,0.0021,0.0284,0.0053,0.28
강원특별자치도,인제,202308,5,13,0.0017,0.0289,0.0032,0.3
강원특별자치도,도평균,202308,8,18,0.0018,0.0276,0.0049,0.31
강원특별자치도,양구,202307,10,17,0.0019,0.0330**,0.0034,0.33
강원특별자치도,정선,202307,3,14,0.0017,0.0293,0.005,0.3
강원특별자치도,횡성,202307,9,18,0.0011,0.0318,0.0052,0.44
강원특별자치도,춘천,202307,9*,25*,0.0015*,0.0331*,0.0049*,0.43*
강원특별자치도,강릉,202307,12,23,0.0016,0.0351,0.0079,0.26
강원특별자치도,원주,202307,13,29,0.0016,0.0319,0.0066,0.33
강원특별자치도,동해,202307,12,30,0.0018,0.032,0.0114,0.35
강원특별자치도,삼척,202307,12,26,0.0011,0.0318,0.0104,0.32
강원특별자치도,평창,202307,9,17,0.002,0.0258,0.0066,0.29
강원특별자치도,양양,202307,8,19,0.0014,0.0431,0.004,0.45**
강원특별자치도,영월,202307,6,20,0.0011,0.0239,0.004,0.65
강원특별자치도,철원,202307,15,27,0.0015,0.0361,0.0037,0.21
